Anatomy OBO ID	Anatomy Name	Anatomy Synonym	
ZFA:0000713	abducens motor nucleus	nVI
ZFA:0000713	abducens motor nucleus	abducens motor nuclei
ZFA:0000713	abducens motor nucleus	abducens nucleus
ZFA:0000713	abducens motor nucleus	motor nucleus VI
ZFA:0000462	abductor hyohyoid	hyohyoideus abductor
ZFA:0000462	abductor hyohyoid	abductors hyohyoid
ZFA:0000614	abductor profundus	abductors profundus
ZFA:0009129	absorptive cell	absorptive cells
ZFA:0000714	accessory pretectal nucleus	APN
ZFA:0000714	accessory pretectal nucleus	nucleus praetectalis accessorius
ZFA:0000382	acellular anatomical structure	acellular anatomical structures
ZFA:0009095	acid secreting cell	acid secreting cells
ZFA:0009277	acinar cell	acinar cells
ZFA:0005435	actinotrichium	actinotrichia
ZFA:0000003	adaxial cell	adaxial cells
ZFA:0000615	adductor arcus palatini	adductors arcus palatini
ZFA:0000715	adductor hyohyoid	adductors hyohyoid
ZFA:0000715	adductor hyohyoid	hyohyoidei adductores
ZFA:0007053	adductor hyomandibulae	dorsal adductors hyomandibulae
ZFA:0007053	adductor hyomandibulae	dorsal adductor hyomandibulae
ZFA:0007049	adductor mandibulae	dorsal adductor mandibulae
ZFA:0000465	adductor operculi	adductor opercula
ZFA:0000465	adductor operculi	adductor operculae
ZFA:0000616	adductor profundus	adductors profundus
ZFA:0001198	adenohypophyseal placode	pituitary placode
ZFA:0001282	adenohypophysis	anterior pituitary
ZFA:0001282	adenohypophysis	anterior hypophysis
ZFA:0005345	adipose tissue	white adipose tissue
ZFA:0009167	adrenal medulla cell	chromafin cell
ZFA:0009061	adrenergic neuron	adrenergic neurons
ZFA:0009216	adrenocorticotropic hormone secreting cell	corticotropin hormone secreting cell
ZFA:0009216	adrenocorticotropic hormone secreting cell	corticotrophin hormone secreting cell
ZFA:0009216	adrenocorticotropic hormone secreting cell	corticotroph
ZFA:0009216	adrenocorticotropic hormone secreting cell	corticotrope
ZFA:0009216	adrenocorticotropic hormone secreting cell	adrenocorticotrophic hormone secreting cell
ZFA:0000716	afferent branchial artery	ABA
ZFA:0005012	afferent filamental artery	afferent filamental arteries
ZFA:0005012	afferent filamental artery	AFA
ZFA:0005015	afferent lamellar arteriole	AFL
ZFA:0005015	afferent lamellar arteriole	afferent lamellar arterioles
ZFA:0009238	afferent neuron	input neuron
ZFA:0009201	alkali secreting cell	alkali secreting cells
ZFA:0009335	alpha-beta T cell	alpha-beta T lymphocyte
ZFA:0009335	alpha-beta T cell	alpha-beta T-cell
ZFA:0009335	alpha-beta T cell	alpha-beta T-lymphocyte
ZFA:0009255	amacrine cell	amacrine neuron
ZFA:0009028	ameloblast	ameloblasts
ZFA:0009085	amelocyte	amelocytes
ZFA:0005144	ampullary nerve	ampullary nerves
ZFA:0000466	anal depressor	anal depressors
ZFA:0000466	anal depressor	depressores anales
ZFA:0000617	anal erector	anal erectors
ZFA:0000617	anal erector	erectores anales
ZFA:0005398	anal fin actinotrichium	anal fin actinotricia
ZFA:0000646	anal fin distal radial	anal fin distal radials
ZFA:0001421	anal fin lepidotrichium	anal fin ray
ZFA:0001421	anal fin lepidotrichium	anal fin lepidotrichia
ZFA:0000268	anal fin proximal radial	anal fin proximal radials
ZFA:0001420	anal fin pterygiophore	anal fin radial
ZFA:0001646	anal fin radial	anal fin radials
ZFA:0001646	anal fin radial	anal fin pterygiophores
ZFA:0000313	anal inclinator	anal inclinators
ZFA:0000313	anal inclinator	inclinatores anales
ZFA:0005897	anal protractor	infracarinalis medius
ZFA:0005897	anal protractor	protractor analis
ZFA:0005896	anal retractor	retractor analis
ZFA:0005896	anal retractor	infracarinalis posterior
ZFA:0001643	anatomical space	anatomical spaces
ZFA:0000037	anatomical structure	anatomical structures
ZFA:0001439	anatomical system	anatomical systems
ZFA:0009271	androgen secreting cell	androgen secreting cells
ZFA:0009258	angioblastic mesenchymal cell	angioblast
ZFA:0001645	angular bone	angular bones
ZFA:0000467	anguloarticular	articular
ZFA:0000618	ansulate commissure	ventral tegmental commissure
ZFA:0000618	ansulate commissure	commissura ansulata
ZFA:0000618	ansulate commissure	Cans
ZFA:0000004	anterior axial hypoblast	pre-polster
ZFA:0005886	anterior basicapsular commissure	anterior basicranial commissure
ZFA:0000423	anterior cardinal vein	rostral cardinal vein
ZFA:0000423	anterior cardinal vein	ACV
ZFA:0001067	anterior cerebral vein	rostral cerebral vein
ZFA:0001067	anterior cerebral vein	ACeV
ZFA:0001277	anterior chamber swim bladder	camera arerea weberiana
ZFA:0001108	anterior commissure	rostral commissure
ZFA:0001108	anterior commissure	commissura anterior
ZFA:0001108	anterior commissure	commissura rostral
ZFA:0000619	anterior crista	anterior semicircular canal sensory patch
ZFA:0000619	anterior crista	ac
ZFA:0000619	anterior crista	anterior crista ampullaris
ZFA:0000619	anterior crista	rostral crista
ZFA:0000619	anterior crista	anterior cristae
ZFA:0000619	anterior crista	anterior semicircular canal sensory patches
ZFA:0000468	anterior crista primordium	anterior crista primordia
ZFA:0001578	anterior dorsomedial process of autopalatine	anterior dorsomedial process of autopalatines
ZFA:0001470	anterior lateral line	anterior lateral lines
ZFA:0001391	anterior lateral line ganglion	anterior lateral line ganglia
ZFA:0000425	anterior lateral line nerve	rostral lateral line nerve
ZFA:0000425	anterior lateral line nerve	ALLn
