B1,B2,B3,B4,B5,
Neurog1 (SN),Nkx6.1 (SN),Olig2 (SN),Olig4 (SN),Ripply1 (SN),
Olig3 (SN),Nkx2.2a (TT),Her3 (SN),Her15.1 (SN),Shha (SN),
Dbx1b (TT),Cdh2 (TT),Col2a1a (AM),gas1a (ac)*,gas1b (ac)*,
Pcdh19 (TT),Has3 (AM),mfsd2ab (NO),slc2a1a (NO)*,pdgfrb (NO)*,
Cdh11 (TT),Has2 (AM),cd99l2 (NO)*,kdrl (NO)*,spock3 (NO)*,
ptch2 (ac),Ugdh (AM),olig2 (NO)*,nptnb (NO)*,mmp9 (NO)*,
Vcanb (AM),Ccn1l1 (AM),cldn7a (IS)*,pax7a (ac)*,apoc1l (SN),
mfsd2aa (NO) ,Her9 (SN),dkk1b (IS)* ,spock2 (NO)*,calua (SN),
spock1 (NO)*,nsfa (NO)*,nuak1b (IS)*,dla  (SN),dlb (SN),
ptch2 (AC)*,plvapb (NO)*,pard3ba (IS)*,fn1a (SN),fosab (SN),
foxi1 (IS),cyp1a (IS)*,epcam (IS),greb1l (SN),h1f0 (SN),
iqgap2 (NO)*,plekho1a (IS)*,wnt16 (IS),hnf1ba (SN),hoxb9a (SN),
anp32e (SN),pcdh18a (IS)*,elavl3 (NO)*,id1 (SN),igfbp1a (SN),
cdx4 (SN),lmx1bb (IS),ascl1b (ac)*,id2a (SN),krt8 (SN),
dld (SN),scube2 (ac)*,apoeb (SN),krt4 (SN),nomo (SN),
foxb1b (SN),iqgap1 (NO)*,cited4a (SN),nkx6.2 (SN),scg3 (SN),
h1fx (SN),cdh6 (TT)*,fgfr4 (SN),prickle1b (SN),,
hsp90b1 (SN),cdh7 (TT)*,gig2g (SN),si:dkey-261h17.1 (SN),,
jag1a (SN),Pax6b (SN),krt18 (SN),zic2b (SN),,
ldlrad2 (SN),Zic2a (SN),myt1a (SN),,,
mafba (SN),mmp2 (NO)*,prdm8 (SN),,,
pax6a (SN),gadd45gb.1 (SN),slc1a3a (SN),,,
si:ch211-163l21.4 (SN),her12 (SN),tfap2a (SN),,,
crestin (BJ)*,hspa5 (SN),itga5 (NO),,,
,junbb (SN),grna (NO),,,
,meis3 (SN),krox20/egr2a (BJ)*,,,
,pax6b (SN),tfec (BJ)*,,,
,si:dkey-85k7.7 (SN),trpm7 (BJ)*,,,
,cdx1a (BJ)*,piezo1 (BJ)*,,,
,mitfa (BJ)*,,,,
,cacng1a (BJ)*,,,,
,orai1b (BJ)*,,,,
